ticker,company_name,fiscal_year,revenue,net_income,gross_profit,operating_income,cost_of_revenue,interest_expense,eps_basic,eps_diluted,total_assets,total_liabilities,stockholders_equity,current_assets,current_liabilities,cash_and_equivalents,short_term_investments,accounts_receivable,long_term_debt,inventory
MSFT,MICROSOFT CORPORATION,2025,211915000000,72361000000,146052000000,88523000000.0,65863000000,1968000000.0,9.72,9.68,512163000000,243686000000.0,206223000000,159734000000,125286000000,18315000000,57228000000.0,56924000000,42688000000.0,1246000000.0
MSFT,MICROSOFT CORPORATION,2024,198270000000,72738000000,135620000000,83383000000.0,62650000000,2063000000.0,9.7,9.65,411976000000,205753000000.0,166542000000,184257000000,104149000000,34704000000,76558000000.0,48688000000,41990000000.0,2500000000.0
MSFT,MICROSOFT CORPORATION,2023,168088000000,61271000000,115856000000,69916000000.0,52232000000,2346000000.0,8.12,8.05,364840000000,198298000000.0,141988000000,169684000000,95082000000,13931000000,90826000000.0,44261000000,47032000000.0,3742000000.0
MSFT,MICROSOFT CORPORATION,2022,143015000000,44281000000,96937000000,52959000000.0,46078000000,2591000000.0,5.82,5.76,333779000000,191791000000.0,118304000000,184406000000,88657000000,14224000000,116110000000.0,38043000000,50074000000.0,2636000000.0
MSFT,MICROSOFT CORPORATION,2021,125843000000,39240000000,82933000000,42959000000.0,42910000000,2686000000.0,5.11,5.06,301311000000,183007000000.0,102330000000,181915000000,72310000000,13576000000,122951000000.0,32011000000,59578000000.0,1895000000.0
MSFT,MICROSOFT CORPORATION,2020,110360000000,16571000000,72007000000,35058000000.0,38353000000,2733000000.0,2.15,2.13,286556000000,184226000000.0,82718000000,175552000000,69420000000,11356000000,122463000000.0,29524000000,66662000000.0,2063000000.0
NFLX,NETFLIX INC,2025,33723297000,5407990000,14007929000,6954003000.0,19715368000,699826000.0,1.22,1.2,53630374000,28886807000.0,20777401000,13100379000,10755400000,7804733000,1779006000.0,1749412000,13798351000.0,
NFLX,NETFLIX INC,2024,31615550000,4491924000,12447265000,5632831000.0,19168285000,706212000.0,10.1,9.95,48731992000,28143679000.0,15849248000,9918133000,8860655000,7116913000,20973000.0,1084257000,14143417000.0,
NFLX,NETFLIX INC,2023,29697844000,5116228000,12365161000,6194509000.0,17332683000,765620000.0,11.55,11.24,48594768000,27817367000.0,11065240000,9266473000,7930974000,5147176000,911276000.0,1826388000,14353076000.0,
NFLX,NETFLIX INC,2022,24996056000,2761395000,9719737000,4585289000.0,15276319000,767499000.0,6.26,6.08,44584663000,28735415000.0,7582157000,8069825000,8488966000,6027804000,0.0,913883000,14693072000.0,
NFLX,NETFLIX INC,2021,20156447000,1866916000,7716234000,2604254000.0,12440213000,626023000.0,4.26,4.13,39280359000,28215119000.0,5238765000,9761580000,7805785000,8205550000,229747000.0,742169000,15809095000.0,
NFLX,NETFLIX INC,2020,15794341000,1211242000,1650378000,1605226000.0,9967538000,420493000.0,2.78,2.68,33975712000,26393555000.0,3581956000,6178504000,6855696000,5018437000,230000000.0,524669000,14759260000.0,
NOW,"SERVICENOW, INC.",2025,8971000000,1731000000,7050000000,762000000.0,1921000000,23000000.0,1.7,1.68,20383000000,10774000000.0,5032000000,9187000000,8358000000,1897000000,3458000000.0,2240000000,1489000000.0,
